"","Group","Observed","Expected","SD","P","Scale","Response"
"61","Hemiptera",-0.000925775807146915,-0.00429184549356223,0.00268588294476009,0.210116515010209,750,"Abundance"
"62","Hymenoptera",-0.000385754104445019,-0.00429184549356223,0.00282585739114824,0.166889520549544,750,"Abundance"
"63","Nematocera",-0.00229162968112372,-0.00429184549356223,0.00280360875659875,0.475571502807649,750,"Abundance"
"64","Trichoptera",-0.000871491779151343,-0.00429184549356223,0.00275237468105464,0.213981390916161,750,"Abundance"
"65","Brachycera",-0.000185458973462438,-0.00429184549356223,0.00278801378387228,0.140785642136179,1000,"Abundance"
"66","Coleoptera",-0.00199981516703954,-0.00429184549356223,0.00273147115296979,0.401402332916023,1000,"Abundance"
"67","Ephemeroptera",-0.00325366299503103,-0.00429184549356223,0.00142363576719906,0.46585042005089,1000,"Abundance"
"68","Hemiptera",-0.0013126368013577,-0.00429184549356223,0.00272441149194464,0.274163903741233,1000,"Abundance"
"69","Hymenoptera",-0.000458429996102516,-0.00429184549356223,0.00282477147186855,0.174758646151097,1000,"Abundance"
"70","Nematocera",-0.00430802391554777,-0.00429184549356223,0.00282513733712274,0.995430861927416,1000,"Abundance"
"71","Trichoptera",-0.000781427052633506,-0.00429184549356223,0.00250998447831286,0.161938447360886,1000,"Abundance"
"72","Brachycera",-0.000189308669817118,-0.00429184549356223,0.0027824903425184,0.140370727078996,1500,"Abundance"
"73","Coleoptera",-0.00077608409886362,-0.00429184549356223,0.00277786119351308,0.205643396988292,1500,"Abundance"
"74","Ephemeroptera",-0.00335140703704586,-0.00429184549356223,0.0014244780404168,0.509126368745415,1500,"Abundance"
"75","Hemiptera",-0.000860491480576344,-0.00429184549356223,0.00276608371402411,0.214786883926475,1500,"Abundance"
"76","Hymenoptera",-0.00044870726149995,-0.00429184549356223,0.00282193711376545,0.173235924974451,1500,"Abundance"
"77","Nematocera",-0.00393382697016936,-0.00429184549356223,0.00278608337882294,0.897751364220915,1500,"Abundance"
"78","Trichoptera",-0.00135213048500942,-0.00429184549356223,0.00242670936064277,0.225742251613252,1500,"Abundance"
"79","Brachycera",-0.000190000260708192,-0.00429184549356223,0.00277053659797306,0.138733527417217,2000,"Abundance"
"80","Coleoptera",-0.000600034181962543,-0.00429184549356223,0.00279041196894657,0.185823904122273,2000,"Abundance"
"81","Ephemeroptera",-0.00325308593980384,-0.00429184549356223,0.00142363573605251,0.465602545347567,2000,"Abundance"
"82","Hemiptera",-0.000612596611737191,-0.00429184549356223,0.0027819061074794,0.185980411268762,2000,"Abundance"
"83","Hymenoptera",-0.000374690879819403,-0.00429184549356223,0.00281914861950079,0.164686408380792,2000,"Abundance"
"84","Nematocera",-0.0184424528667261,-0.00429184549356223,0.00273944150067128,2.39786590984599e-07,2000,"Abundance"
"85","Trichoptera",-0.00210615596727711,-0.00429184549356223,0.00232031919774065,0.346203928031056,2000,"Abundance"
"86","Brachycera",-0.000180625551486623,-0.00429184549356223,0.00277394539650598,0.138317959620324,2500,"Abundance"
"87","Coleoptera",-0.000551689076148719,-0.00429184549356223,0.00278718786906509,0.179625045856023,2500,"Abundance"
"88","Ephemeroptera",-0.00325314935931868,-0.00429184549356223,0.00142363573650504,0.465629782754137,2500,"Abundance"
"89","Hemiptera",-0.000581070718324721,-0.00429184549356223,0.00278534140318213,0.182777616026721,2500,"Abundance"
"90","Hymenoptera",-0.000277129807692181,-0.00429184549356223,0.00282646288077438,0.155490458837505,2500,"Abundance"
"91","Nematocera",-0.0283878580462609,-0.00429184549356223,0.00269829675494201,4.25691327494863e-19,2500,"Abundance"
"92","Trichoptera",-0.00170144647836078,-0.00429184549356223,0.0023577033551248,0.271900730500745,2500,"Abundance"
"93","Brachycera",-0.000179951394830908,-0.00429184549356223,0.00277870978101613,0.138930532540292,3000,"Abundance"
"94","Coleoptera",-0.000679165116090851,-0.00429184549356223,0.00278243454992379,0.194153948362862,3000,"Abundance"
"95","Ephemeroptera",-0.00325309431771727,-0.00429184549356223,0.00142363573607038,0.465606143429061,3000,"Abundance"
"96","Hemiptera",-0.000540638937583327,-0.00429184549356223,0.00278670175698617,0.178267107301391,3000,"Abundance"
"97","Hymenoptera",-0.00037260520270277,-0.00429184549356223,0.0028275127854489,0.165713690493767,3000,"Abundance"
"98","Nematocera",-0.0330937310903349,-0.00429184549356223,0.00268016635652246,6.16832485456996e-27,3000,"Abundance"
"99","Trichoptera",-0.00216785861946845,-0.00429184549356223,0.00230290616828779,0.356368374394638,3000,"Abundance"
"100","Ephemeroptera",-0.00609189389164325,-0.0196078431372549,0.0122866340890609,0.271309010518265,100,"Body size"
"101","Nematocera",-0.00252154219921125,-0.00440528634361234,0.00284440178770225,0.507802215669957,100,"Body size"
"102","Brachycera",-0.00134860899136762,-0.00478468899521531,0.00310954186690394,0.269154539053576,100,"Body size"
"103","Trichoptera",-0.00207312342869127,-0.00746268656716418,0.00500401757994671,0.281459178262164,100,"Body size"
"104","Hymenoptera",-0.0449924265670843,-0.00719424460431655,0.00416001742546666,1.02689896552416e-19,100,"Body size"
"105","Coleoptera",-0.00284875582660686,-0.00625,0.00374803791976925,0.364156586058243,100,"Body size"
"106","Hemiptera",-0.00315339912502932,-0.00657894736842105,0.00412332323149814,0.406101517481534,100,"Body size"
"107","Ephemeroptera",-0.0070784871785514,-0.0196078431372549,0.0119385938673806,0.293955696193474,250,"Body size"
"108","Nematocera",-0.00246092760345509,-0.00440528634361234,0.00284735609536166,0.494692391646558,250,"Body size"
"109","Brachycera",-0.00134737657142307,-0.00478468899521531,0.00310971041730588,0.269008794023772,250,"Body size"
"110","Trichoptera",-0.00208814973312648,-0.00746268656716418,0.00500811689608655,0.283196995844137,250,"Body size"
"111","Hymenoptera",-0.0487651198962648,-0.00719424460431655,0.00405868008811847,1.27938973545057e-24,250,"Body size"
"112","Coleoptera",-0.00287317314140504,-0.00625,0.00385699624824666,0.38129815328877,250,"Body size"
"113","Hemiptera",-0.00327203517681147,-0.00657894736842105,0.00411640494963079,0.421772708012047,250,"Body size"
"114","Ephemeroptera",-0.00701185511091805,-0.0196078431372549,0.0114214683952941,0.270099094636107,500,"Body size"
"115","Nematocera",-0.00236765987657857,-0.00440528634361234,0.00285450977428109,0.475334092839428,500,"Body size"
"116","Brachycera",-0.00141330126820031,-0.00478468899521531,0.00311355700398596,0.278893184115482,500,"Body size"
"117","Trichoptera",-0.00210404731985081,-0.00746268656716418,0.00500942235803846,0.284748959806783,500,"Body size"
"118","Hymenoptera",-0.0497500781300313,-0.00719424460431655,0.00410976265233455,3.97953570595484e-25,500,"Body size"
"119","Coleoptera",-0.00316256614892686,-0.00625,0.00389711872870848,0.428223664896294,500,"Body size"
"120","Hemiptera",-0.0032561551701216,-0.00657894736842105,0.00412874820934128,0.420938507037903,500,"Body size"
"121","Ephemeroptera",-0.00711961574824879,-0.0196078431372549,0.0112993030955397,0.26906382713859,750,"Body size"
"122","Nematocera",-0.00233143723600121,-0.00440528634361234,0.0028569586465864,0.467903761925036,750,"Body size"
"123","Brachycera",-0.0014161450156988,-0.00478468899521531,0.00311594103877002,0.279666890463906,750,"Body size"
"124","Trichoptera",-0.00211313919711573,-0.00746268656716418,0.00500904165379995,0.285530338240017,750,"Body size"
"125","Hymenoptera",-0.0487953809850067,-0.00719424460431655,0.0041335490726329,7.9478150397731e-24,750,"Body size"
"126","Coleoptera",-0.0026812392995781,-0.00625,0.00383358657817949,0.351895179761662,750,"Body size"
"127","Hemiptera",-0.00329558883912906,-0.00657894736842105,0.00413830591708078,0.427541064932975,750,"Body size"
"128","Ephemeroptera",-0.00741314291295804,-0.0196078431372549,0.0111844649429659,0.27557006605625,1000,"Body size"
"129","Nematocera",-0.00227324188990791,-0.00440528634361234,0.00285701618999977,0.455517229047362,1000,"Body size"
"130","Brachycera",-0.00134067824842457,-0.00478468899521531,0.0031134845439769,0.268657455607982,1000,"Body size"
"131","Trichoptera",-0.0021053688474045,-0.00746268656716418,0.00500826962695683,0.284756910660156,1000,"Body size"
"132","Hymenoptera",-0.0477791209168088,-0.00719424460431655,0.00418260210922936,2.92015708372847e-22,1000,"Body size"
"133","Coleoptera",-0.00263904360981781,-0.00625,0.00378203730438649,0.339696611810438,1000,"Body size"
"134","Hemiptera",-0.00326994251877056,-0.00657894736842105,0.00414313893005976,0.424481215350053,1000,"Body size"
"135","Ephemeroptera",-0.00741373043624789,-0.0196078431372549,0.0111819452757802,0.275485024639706,1500,"Body size"
"136","Nematocera",-0.00223356317485858,-0.00440528634361234,0.00285601122667174,0.447012964001169,1500,"Body size"
"137","Brachycera",-0.00132906858314641,-0.00478468899521531,0.003111934313009,0.266808905807963,1500,"Body size"
"138","Trichoptera",-0.00209697704561398,-0.00746268656716418,0.00500693155013626,0.283874455300499,1500,"Body size"
"139","Hymenoptera",-0.0477811114975989,-0.00719424460431655,0.00418967343359519,3.41241252258382e-22,1500,"Body size"
"140","Coleoptera",-0.00249683044793096,-0.00625,0.00378091286850105,0.320874567516424,1500,"Body size"
"141","Hemiptera",-0.00318613099202506,-0.00657894736842105,0.00414966592133867,0.413578811360858,1500,"Body size"
"142","Ephemeroptera",-0.00742890321977974,-0.0196078431372549,0.0111210119906054,0.2734602365194,2000,"Body size"
"143","Nematocera",-0.00221350778836913,-0.00440528634361234,0.00285612542289511,0.44284624543201,2000,"Body size"
"144","Brachycera",-0.00134196849297158,-0.00478468899521531,0.00311109125791684,0.268468726383605,2000,"Body size"
"145","Trichoptera",-0.00209871516791429,-0.00746268656716418,0.00500723497198432,0.28405964435847,2000,"Body size"
"146","Hymenoptera",-0.0482571011241838,-0.00719424460431655,0.00416929927258851,6.93238816923118e-23,2000,"Body size"
"147","Coleoptera",-0.00229473005004758,-0.00625,0.00378395504962893,0.295896336132036,2000,"Body size"
"148","Hemiptera",-0.00316768814473096,-0.00657894736842105,0.00415173215102477,0.411277700335736,2000,"Body size"
"149","Ephemeroptera",-0.00720902086684033,-0.0196078431372549,0.0111716430351484,0.267064662802091,2500,"Body size"
"150","Nematocera",-0.00221791273121282,-0.00440528634361234,0.0028552625603363,0.443625770545709,2500,"Body size"
"151","Brachycera",-0.00135113968585913,-0.00478468899521531,0.00311101143819534,0.269733619569947,2500,"Body size"
"152","Trichoptera",-0.00208588534100035,-0.00746268656716418,0.00500808134490175,0.282990797752458,2500,"Body size"
"153","Hymenoptera",-0.0463446299707854,-0.00719424460431655,0.00425793693273671,3.76097752725012e-20,2500,"Body size"
"154","Coleoptera",-0.0023524192432808,-0.00625,0.00380354968010356,0.305494413949499,2500,"Body size"
"155","Hemiptera",-0.00307792634515883,-0.00657894736842105,0.00415437133312643,0.399378432193657,2500,"Body size"
"156","Ephemeroptera",-0.00716502227409458,-0.0196078431372549,0.0111527083280705,0.264560392472143,3000,"Body size"
"157","Nematocera",-0.00220754645080991,-0.00440528634361234,0.00285525456963472,0.441467386455529,3000,"Body size"
"158","Brachycera",-0.00137692572274834,-0.00478468899521531,0.0031122606916209,0.273539467318023,3000,"Body size"
"159","Trichoptera",-0.00206373549607992,-0.00746268656716418,0.00500806167703261,0.281010536179448,3000,"Body size"
"160","Hymenoptera",-0.0452334743333433,-0.00719424460431655,0.00429477197025949,8.2122017805142e-19,3000,"Body size"
"161","Coleoptera",-0.00246021658188893,-0.00625,0.00379389510906554,0.317835270901557,3000,"Body size"
"162","Hemiptera",-0.00300693288487651,-0.00657894736842105,0.00415611748642783,0.39008707806502,3000,"Body size"
"2","Lifecycle",-0.000475526096148535,-0.00267379679144385,0.00179124703429481,0.219736451034356,100,"N"
"4","Lifecycle",-0.000497959732534103,-0.00267379679144385,0.00179130378530244,0.224493237808918,250,"N"
"6","Lifecycle",-0.000524536791818246,-0.00267379679144385,0.00179151163953286,0.230259454408419,500,"N"
"8","Lifecycle",-0.000366520385372086,-0.00267379679144385,0.00179151721835405,0.197784393839823,750,"N"
"10","Lifecycle",-0.000400879364636616,-0.00267379679144385,0.00179165292261697,0.204578480602446,1000,"N"
"12","Lifecycle",-0.000425085321541506,-0.00267379679144385,0.00179175136927196,0.209465894542644,1500,"N"
"14","Lifecycle",-0.000364325674685692,-0.00267379679144385,0.00179173629191802,0.197413020306901,2000,"N"
"16","Lifecycle",-0.000393829450959788,-0.00267379679144385,0.00179178670014424,0.203211622933465,2500,"N"
"18","Lifecycle",-0.000361338912041526,-0.00267379679144385,0.00179185287851734,0.196863220274866,3000,"N"
"20","Lifecycle",-0.00187992870652176,-0.00537634408602151,0.00354569179433801,0.324082839564691,100,"Occurrence"
"22","Lifecycle",-0.000672384765042122,-0.00537634408602151,0.00354510214515947,0.184545190792294,250,"Occurrence"
"24","Lifecycle",-0.0018265197916111,-0.00537634408602151,0.0035452648444312,0.316688526694083,500,"Occurrence"
"26","Lifecycle",-0.00176638145796358,-0.00537634408602151,0.00354529012674571,0.308563055521499,750,"Occurrence"
"28","Lifecycle",-0.00176568708646159,-0.00537634408602151,0.00354504754044873,0.308436906519348,1000,"Occurrence"
"30","Lifecycle",-0.000570252153331495,-0.00537634408602151,0.00354344301116588,0.174992949224453,1500,"Occurrence"
"32","Lifecycle",-0.00208627260443841,-0.00537634408602151,0.00354416112829605,0.35324806646527,2000,"Occurrence"
"34","Lifecycle",-0.0021525368136686,-0.00537634408602151,0.00354418332806823,0.363030801795377,2500,"Occurrence"
"36","Lifecycle",-0.00216882768057027,-0.00537634408602151,0.00354412605951056,0.365453081923513,3000,"Occurrence"
"1","Lifecycle",-0.000545194680245465,-0.00267379679144385,0.00177092090349612,0.229373332776728,100,"SAD"
"3","Lifecycle",-0.000478859256566302,-0.00267379679144385,0.00177139720195152,0.215308621312006,250,"SAD"
"5","Lifecycle",-0.000433641007747416,-0.00267379679144385,0.00177240087581906,0.206262212070505,500,"SAD"
"7","Lifecycle",-0.000163369258321608,-0.00267379679144385,0.00177412326443001,0.157061370965977,750,"SAD"
"9","Lifecycle",-0.000166617884218422,-0.00267379679144385,0.00177445325358288,0.157676195866931,1000,"SAD"
"11","Lifecycle",-0.000396969897555422,-0.00267379679144385,0.00177405357723848,0.199350684424324,1500,"SAD"
"13","Lifecycle",-0.00039266400762805,-0.00267379679144385,0.00177415877939951,0.198528724775525,2000,"SAD"
"15","Lifecycle",-0.000418656445439376,-0.00267379679144385,0.00177433819692015,0.203737370984796,2500,"SAD"
"17","Lifecycle",-0.00043154347527346,-0.00267379679144385,0.00177429495277562,0.206322186800443,3000,"SAD"
